Time,Seconds,fm_ds,fm_us,gravity_ds,gravity_us
01/01/2022 02:14:00,                7980,     6.12444,     6.12563,     6.12444,     6.12563
01/01/2022 02:15:00,                8040,     6.14779,     6.14897,     6.14779,     6.14897
01/01/2022 02:16:00,                8100,     6.17113,     6.17231,     6.17114,     6.17231
01/01/2022 02:17:00,                8160,     6.18588,     6.18784,     6.18578,     6.18784
01/01/2022 02:18:00,                8220,     6.21253,     6.21427,     6.20984,     6.21427
01/01/2022 02:19:00,                8280,     6.23522,     6.23915,     6.23577,     6.23915
01/01/2022 02:20:00,                8340,     6.23244,     6.24400,     6.23214,     6.24400
01/01/2022 02:21:00,                8400,     6.25407,     6.26733,     6.25342,     6.26733
01/01/2022 02:22:00,                8460,     6.27768,     6.29067,     6.27685,     6.29067
01/01/2022 02:23:00,                8520,     6.30120,     6.31400,     6.30026,     6.31400
01/01/2022 02:24:00,                8580,     6.32463,     6.33734,     6.32363,     6.33734
01/01/2022 02:25:00,                8640,     6.34802,     6.36067,     6.34699,     6.36067
01/01/2022 02:26:00,                8700,     6.37139,     6.38401,     6.37033,     6.38401
01/01/2022 02:27:00,                8760,     6.39473,     6.40735,     6.39367,     6.40735
01/01/2022 02:28:00,                8820,     6.41807,     6.43068,     6.41700,     6.43068
01/01/2022 02:29:00,                8880,     6.44140,     6.45402,     6.44033,     6.45402
01/01/2022 02:30:00,                8940,     6.46473,     6.47735,     6.46366,     6.47735
01/01/2022 02:31:00,                9000,     6.48806,     6.50069,     6.48698,     6.50069
01/01/2022 02:32:00,                9060,     6.51139,     6.52402,     6.51031,     6.52402
01/01/2022 02:33:00,                9120,     6.53472,     6.54736,     6.53363,     6.54736
01/01/2022 02:34:00,                9180,     6.55804,     6.57070,     6.55696,     6.57070
01/01/2022 02:35:00,                9240,     6.58137,     6.59403,     6.58028,     6.59403
01/01/2022 02:36:00,                9300,     6.60470,     6.61737,     6.60361,     6.61737
01/01/2022 02:37:00,                9360,     6.62802,     6.64070,     6.62694,     6.64070
01/01/2022 02:38:00,                9420,     6.65135,     6.66404,     6.65026,     6.66404
01/01/2022 02:39:00,                9480,     6.67467,     6.68737,     6.67359,     6.68737
01/01/2022 02:40:00,                9540,     6.69800,     6.71071,     6.69691,     6.71071
01/01/2022 02:41:00,                9600,     6.72147,     6.73405,     6.72024,     6.73405
01/01/2022 02:42:00,                9660,     6.74560,     6.75738,     6.74367,     6.75738
01/01/2022 02:43:00,                9720,     6.76860,     6.78072,     6.76755,     6.78072
01/01/2022 02:44:00,                9780,     6.79167,     6.80405,     6.79061,     6.80405
01/01/2022 02:45:00,                9840,     6.81499,     6.82739,     6.81393,     6.82739
01/01/2022 02:46:00,                9900,     6.83902,     6.85072,     6.83797,     6.85072
01/01/2022 02:47:00,                9960,     6.86197,     6.87406,     6.86093,     6.87406
01/01/2022 02:48:00,               10020,     6.88516,     6.89740,     6.88411,     6.89740
01/01/2022 02:49:00,               10080,     6.90911,     6.92073,     6.90807,     6.92073
01/01/2022 02:50:00,               10140,     6.93201,     6.94407,     6.93098,     6.94407
01/01/2022 02:51:00,               10200,     6.95518,     6.96740,     6.95414,     6.96740
01/01/2022 02:52:00,               10260,     6.97911,     6.99074,     6.97807,     6.99074
01/01/2022 02:53:00,               10320,     7.00215,     7.01407,     7.00112,     7.01407
01/01/2022 02:54:00,               10380,     7.02594,     7.03741,     7.02491,     7.03741
01/01/2022 02:55:00,               10440,     7.04890,     7.06075,     7.04788,     7.06075
01/01/2022 02:56:00,               10500,     7.07265,     7.08408,     7.07163,     7.08408
01/01/2022 02:57:00,               10560,     7.09559,     7.10742,     7.09457,     7.10742
01/01/2022 02:58:00,               10620,     7.11932,     7.13075,     7.11831,     7.13075
01/01/2022 02:59:00,               10680,     7.14225,     7.15409,     7.14124,     7.15409
01/01/2022 03:00:00,               10740,     7.18944,     7.19732,     7.18884,     7.19732
